key,enabled,instrumentation_exist
SENSOR_ZAGENT_CICS_CTG,true,true
SENSOR_NODEJS_FASTIFY,true,true
SENSOR_SDK_DOTNET_INCOMING_MESSAGING,true,true
SENSOR_NODEJS_CORE_FILESYSTEM,true,true
SENSOR_NODEJS_MONGODB,true,true
SENSOR_PHP_ORACLE,true,true
DOTNET_NATIVE_SAMPLING,true,false
SENSOR_DOTNET_AZURE_SERVICE_BUS_FORCIBLE,true,true
SENSOR_JAVA_AKKA_HTTP_FORCIBLE,true,true
JAVA_APACHE_HTTP_CLIENT_5,true,false
SENSOR_NODEJS_DISABLEDMODULES,true,true
SENSOR_DOTNET_IBM_MQ_FORCIBLE,true,true
SENSOR_SDK_NATIVE_OUTGOING_REMOTE_CALL,true,true
SENSOR_SDK_NATIVE_INCOMING_WEBREQUEST,true,true
FRONTEND_AGENT_IMPROVED_SERVER_BALANCING,true,false
SENSOR_SDK_NATIVE_DATABASE_REQUEST,true,true
SENSOR_JAVA_SPRING_INTEGRATION,true,true
JAVA_WEBFLUX_HTTP_CLIENT,true,false
GO_LOG_ENRICHMENT,false,false
SENSOR_PHP_CUSTOM_SERVICE,true,true
SENSOR_JAVA_RMI,true,true
JAVA_CASP_FLAW_FINDER_IAST,false,false
SENSOR_SDK_NATIVE_IN_PROCESS_LINKING,true,true
SENSOR_PHP_LARAVEL,false,false
SENSOR_NODEJS_CLIENTWEBREQUEST,true,true
SENSOR_JAVA_MQSERIES,true,true
SENSOR_PHP_MONGODB,true,true
SENSOR_NODEJS_GRPCJS_FORCIBLE,true,true
JAVA_OPENTRACING_TRACERRESOLVER_OVERRIDE,false,false
SENSOR_GO_OPENTELEMETRY,false,false
DOTNET_ASYNC_AUTOSENSOR_FORCIBLE,true,false
JAVA_FORK_JOIN_POOL,false,false
SENSOR_JAVA_CTG_FORCIBLE,true,true
SENSOR_DOTNET_AMQP_FORCIBLE,true,true
SENSOR_ZAGENT_CICS_TTX,true,true
SENSOR_PHP_PREDIS,false,false
PHP_CASP_SOFTWARE_COMPONENT_EXTRACTION_FORCIBLE,true,false
SENSOR_ZAGENT_CICS_ZOSCONNECT,true,true
NODEJS_AGENT_PRELOADING_FORCIBLE,true,false
SENSOR_DOTNET_AZUREFUNCTIONS_FORCIBLE,true,true
SENSOR_NODEJS_CORE_EVENTS,true,true
DOTNET_AMQP_SENSOR_V2,true,false
SENSOR_ZAGENT_IMS_ITRA,true,true
SENSOR_GO_WEBREQUEST,true,true
JAVA_INTERNAL_HTTP_SERVER,true,false
SENSOR_DOTNET_LOG_ENRICHMENT,false,false
HTTP_TRACE_CONTEXT,true,false
SENSOR_DOTNET_SERVICE_FABRIC,true,true
NODEJS_OPENTELEMETRY,false,false
